DAY,April,May,June,July,August,September,October,November
1,,,3453,,,,,3087
2,,1907,,,,,,
3,,,,3351,,,5580,
4,,1806,,2430,,4060,,3167
5,,,4622,,,,,
6,,,,,,2272,,4585
7,,,,3460,,,,
8,,,,,,1973,,
9,,,,1506,,,,
10,,,,,,3823,,2418
11,,,,2483,,,,
12,,2221,,,,,2420,2520
13,,,,,6915,2343,,
14,,1814,,2597,1505,,,2521
15,,4716,,,,,,
16,,,,2978,4185,3571,,
17,,,,,,,3683,
18,,2353,,,,,2005,2637
19,,1637,,,2606,103600,,
20,,2055,,,,,,2538
21,,,,,3778,2117,2342,
22,,3936,,3168,,,,
23,,,,,3086,,,
24,2763,,2695,,,2555,,
25,,1896,,,,,,
26,,,,2452,2986,,,
27,1851,1579,,,,,,
28,,,,2255,4021,,3056,
29,,,,,,,,
30,,,539,,,2456,,
31,,,,,321651,,,
